9094	UNC119	unc-119 lipid binding chaperone [Source:HGNC Symbol;Acc:HGNC:12565]			HALLMARK_ESTROGEN_RESPONSE_EARLY							
1191	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]				HALLMARK_COMPLEMENT					HALLMARK_COAGULATION	
712	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]				HALLMARK_COMPLEMENT					HALLMARK_COAGULATION	
5216	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]				HALLMARK_COMPLEMENT						
11012	KLK11	kallikrein related peptidase 11 [Source:HGNC Symbol;Acc:HGNC:6359]					HALLMARK_ESTROGEN_RESPONSE_LATE					
3430	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]						HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE			
3560	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]						HALLMARK_INTERFERON_GAMMA_RESPONSE				
7318	UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]							HALLMARK_INTERFERON_ALPHA_RESPONSE			
29968	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]								HALLMARK_UNFOLDED_PROTEIN_RESPONSE		
10897	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:16688]								HALLMARK_UNFOLDED_PROTEIN_RESPONSE		
10482	NXF1	nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]										HALLMARK_UV_RESPONSE_UP
130589	GALM	galactose mutarotase [Source:HGNC Symbol;Acc:HGNC:24063]										
64981	MRPL34	mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]										
115817	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]										
10327	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]										
54842	MFSD6	major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]										
157807	CLVS1	clavesin 1 [Source:HGNC Symbol;Acc:HGNC:23139]										
5830	PEX5	peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]										
11272	PRR4	proline rich 4 [Source:HGNC Symbol;Acc:HGNC:18020]										
11342	RNF13	ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]										
114905	C1QTNF7	C1q and TNF related 7 [Source:HGNC Symbol;Acc:HGNC:14342]										
124944	C17orf49	chromosome 17 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28737]										
1258	CNGB1	cyclic nucleotide gated channel subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2151]										
126306	JSRP1	junctional sarcoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:24963]										
1302	COL11A2	collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]										
145773	FAM81A	family with sequence similarity 81 member A [Source:HGNC Symbol;Acc:HGNC:28379]										
146395	GSG1L	GSG1 like [Source:HGNC Symbol;Acc:HGNC:28283]										
146556	C16orf89	chromosome 16 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:28687]										
151790	WDR49	WD repeat domain 49 [Source:HGNC Symbol;Acc:HGNC:26587]										
163688	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]										
221914	GPC2	glypican 2 [Source:HGNC Symbol;Acc:HGNC:4450]										
23038	WDTC1	WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:29175]										
23230	VPS13A	vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908]										
23420	NOMO1	NODAL modulator 1 [Source:HGNC Symbol;Acc:HGNC:30060]										
23516	SLC39A14	solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]										
23581	CASP14	caspase 14 [Source:HGNC Symbol;Acc:HGNC:1502]										
245802	MS4A6E	membrane spanning 4-domains A6E [Source:HGNC Symbol;Acc:HGNC:14285]										
25828	TXN2	thioredoxin 2 [Source:HGNC Symbol;Acc:HGNC:17772]										
26127	FGFR1OP2	FGFR1 oncogene partner 2 [Source:HGNC Symbol;Acc:HGNC:23098]										
2678	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]										
286887	KRT6C	keratin 6C [Source:HGNC Symbol;Acc:HGNC:20406]										
311	ANXA11	annexin A11 [Source:HGNC Symbol;Acc:HGNC:535]										
339231	ARL16	ADP ribosylation factor like GTPase 16 [Source:HGNC Symbol;Acc:HGNC:27902]										
388650	DIPK1A	divergent protein kinase domain 1A [Source:HGNC Symbol;Acc:HGNC:32213]										
388697	HRNR	hornerin [Source:HGNC Symbol;Acc:HGNC:20846]										
3902	LAG3	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]										
401190	RGS7BP	regulator of G protein signaling 7 binding protein [Source:HGNC Symbol;Acc:HGNC:23271]										
427	ASAH1	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]										
50511	SYCP3	synaptonemal complex protein 3 [Source:HGNC Symbol;Acc:HGNC:18130]										
51252	FAM178B	family with sequence similarity 178 member B [Source:HGNC Symbol;Acc:HGNC:28036]										
5452	POU2F2	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]										
54551	MAGEL2	MAGE family member L2 [Source:HGNC Symbol;Acc:HGNC:6814]										
54762	GRAMD1C	GRAM domain containing 1C [Source:HGNC Symbol;Acc:HGNC:25252]										
54881	TEX10	testis expressed 10 [Source:HGNC Symbol;Acc:HGNC:25988]										
55142	HAUS2	HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530]										
55182	RNF220	ring finger protein 220 [Source:HGNC Symbol;Acc:HGNC:25552]										
55205	ZNF532	zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940]										
55584	CHRNA9	cholinergic receptor nicotinic alpha 9 subunit [Source:HGNC Symbol;Acc:HGNC:14079]										
56169	GSDMC	gasdermin C [Source:HGNC Symbol;Acc:HGNC:7151]										
57552	NCEH1	neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29260]										
58478	ENOPH1	enolase-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:24599]										
5920	PLAAT4	phospholipase A and acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:9869]										
730	C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]										
752	FMNL1	formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]										
81037	CLPTM1L	CLPTM1 like [Source:HGNC Symbol;Acc:HGNC:24308]										
81615	TMEM163	transmembrane protein 163 [Source:HGNC Symbol;Acc:HGNC:25380]										
9132	KCNQ4	potassium voltage-gated channel subfamily Q member 4 [Source:HGNC Symbol;Acc:HGNC:6298]										
91369	ANKRD40	ankyrin repeat domain 40 [Source:HGNC Symbol;Acc:HGNC:28233]										
93145	OLFM2	olfactomedin 2 [Source:HGNC Symbol;Acc:HGNC:17189]										
9520	NPEPPS	aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]										
