mutational_propensity	cancer_type	gene	variant	Beta_value	P	FDR
MP5	pan-cancer	PPIH	Somatic_Nsy_mutations	3.16139467805599	6.00844186404562E-13	3.4693677370763E-10
MP5	pan-cancer	PPIH	SCNAs	-0.412522214291965	0.000768876267152	0.013892032086785
MP5	pan-cancer	TMEM125	germline missense	0.000944506073058	0.004306676769866	0.04717377860002
MP5	pan-cancer	TMEM125	Somatic_Nsy_mutations	3.22945970682679	1.80729491593938E-05	0.000818742535913
MP5	pan-cancer	TMEM125	SCNAs	-0.463915660750555	0.000220529697899	0.005471683315
MP5	pan-cancer	RNF220	germline missense	0.001346388173591	0.000211682882248	0.005313958426455
MP5	pan-cancer	RNF220	Somatic_Nsy_mutations	3.1525107524903	3.56872490237576E-22	2.15400986134943E-18
MP5	pan-cancer	RNF220	SCNAs	-0.428650544467889	0.000394052886928	0.008412217946627
MP5	pan-cancer	GLMN	Germline_truncation	0.002150977799025	0.00328494887586	0.039317908725435
MP5	pan-cancer	GLMN	Somatic_Nsy_mutations	2.12018299961061	1.63885665395782E-06	0.000111811299137
MP5	pan-cancer	FAM69A	Germline_truncation	0.002121526386974	0.003437873305952	0.040521756239262
MP5	pan-cancer	FAM69A	Somatic_Nsy_mutations	2.83037242990431	2.72604781790555E-13	1.75800957867538E-10
MP5	pan-cancer	SLC44A3	Germline_truncation	0.002232088285601	0.002046970136265	0.0283475349863
MP5	pan-cancer	SLC44A3	Somatic_Nsy_mutations	3.27598043766821	4.52703567705763E-16	5.75247743002062E-13
MP5	pan-cancer	DENND2D	germline missense	-0.001296189997975	0.011116375950527	0.088573997696105
MP5	pan-cancer	DENND2D	Somatic_Nsy_mutations	3.57928092271569	5.90955551068456E-13	3.42933217744477E-10
MP5	pan-cancer	ZNF697	germline missense	-0.002066350254934	0.005069297455126	0.052566948975579
MP5	pan-cancer	ZNF697	Somatic_Nsy_mutations	2.5773477649321	2.62929652798259E-07	2.39771856725902E-05
MP5	pan-cancer	RBM8A	germline missense	0.001890863736588	0.008983577682197	0.07698378824335
MP5	pan-cancer	RBM8A	Somatic_Nsy_mutations	4.88086109959025	0.000168249573342	0.004518129713999
MP5	pan-cancer	CELF3	germline missense	0.002013814835454	0.005319636331856	0.054254082750791
MP5	pan-cancer	CELF3	Somatic_Nsy_mutations	2.3569376894468	8.42762857201729E-08	9.26898340610737E-06
MP5	pan-cancer	S100A8	germline missense	0.002498060458806	0.000627343640669	0.011954871604642
MP5	pan-cancer	S100A8	Somatic_Nsy_mutations	3.20367191184923	0.012614285964509	0.096376288360685
MP5	pan-cancer	IL6R	germline missense	0.00094829788632	0.00394209248213	0.044462068839456
MP5	pan-cancer	IL6R	Somatic_Nsy_mutations	1.97996970507096	6.86391829177396E-05	0.002379280205355
MP5	pan-cancer	MEF2D	germline missense	0.001140753746919	0.00727304609435	0.06685335511797
MP5	pan-cancer	MEF2D	Somatic_Nsy_mutations	2.80320516718544	0.000203979657667	0.00517234514507
MP5	pan-cancer	RGS18	Germline_truncation	0.002054753302382	0.004535297683322	0.048792532651598
MP5	pan-cancer	RGS18	Somatic_Nsy_mutations	3.29904121705705	5.87657708924356E-10	1.3190405812789E-07
MP5	pan-cancer	CDC73	germline missense	-0.002322704701818	0.007802647624793	0.070080507652561
MP5	pan-cancer	CDC73	Somatic_Nsy_mutations	3.68043247466009	3.88576784709697E-05	0.001520037617643
MP5	pan-cancer	ADIPOR1	germline missense	-0.001823468801837	0.013094495265002	0.09881973294807
MP5	pan-cancer	ADIPOR1	Somatic_Nsy_mutations	2.04354728746279	4.34515478398364E-06	0.000253799678886
MP5	pan-cancer	ZNF678	germline missense	-0.000562211734388	0.001041981379339	0.017398229047161
MP5	pan-cancer	ZNF678	Somatic_Nsy_mutations	2.88356868881709	2.18547798348246E-10	5.72747948247913E-08
MP5	pan-cancer	FH	Germline_truncation	-0.003318133530664	0.007746554997211	0.069733947231038
MP5	pan-cancer	FH	Somatic_Nsy_mutations	4.79857790991693	0.0001659417801	0.004473260026292
MP5	pan-cancer	TPO	Germline_truncation	-0.001355337170746	0.008813571923967	0.076000703441777
MP5	pan-cancer	TPO	Somatic_Nsy_mutations	1.96671128640905	1.74371977986106E-07	1.70743538018329E-05
MP5	pan-cancer	CGREF1	Germline_truncation	-0.001923441984004	0.008684234719441	0.075236424912705
MP5	pan-cancer	CGREF1	Somatic_Nsy_mutations	3.86102529217446	2.66198164386323E-07	2.42409135122482E-05
MP5	pan-cancer	CGREF1	SCNAs	-0.376587279610615	0.006689416274959	0.063192343301141
MP5	pan-cancer	SLC30A3	Germline_truncation	0.001223753748589	0.000804895282301	0.014374655732568
MP5	pan-cancer	SLC30A3	Somatic_Nsy_mutations	2.89303309215649	8.3477010663564E-08	9.20537194582895E-06
MP5	pan-cancer	TTC27	germline missense	0.000501871598638	0.005695051191769	0.056762572436455
MP5	pan-cancer	TTC27	Somatic_Nsy_mutations	1.9740810286449	3.00598769215546E-07	2.68389509539304E-05
MP5	pan-cancer	TTC27	SCNAs	-0.469268222541671	0.000737649323348	0.013480069282483
MP5	pan-cancer	CYP1B1	Germline_truncation	0.002004314666805	0.005628449850646	0.056319635312934
MP5	pan-cancer	CYP1B1	Somatic_Nsy_mutations	3.67771903620353	1.70253020328886E-08	2.38979685595442E-06
MP5	pan-cancer	DYNC2LI1	germline missense	0.001112283807466	0.001869946504465	0.026539183817929
MP5	pan-cancer	DYNC2LI1	Somatic_Nsy_mutations	4.93699925989803	7.39379865724024E-05	0.002522884795605
MP5	pan-cancer	PEX13	germline missense	0.000399670780339	0.008589957385535	0.074706153689254
MP5	pan-cancer	PEX13	Somatic_Nsy_mutations	2.36247502755664	0.001377010406438	0.021284731579896
MP5	pan-cancer	PEX13	SCNAs	-0.491853102183064	0.00022383052534	0.005532261658728
MP5	pan-cancer	SEPT10	Germline_truncation	0.00208203201472	0.000161250298755	0.004385156470947
MP5	pan-cancer	SEPT10	TSS_methylation	0.501870332469955	0.003731951634228	0.042821214983059
MP5	pan-cancer	GLI2	germline missense	0.000467596152923	0.000857032982991	0.015053843580964
MP5	pan-cancer	GLI2	Somatic_Nsy_mutations	2.65347670898306	3.14827084527179E-10	7.84106185100506E-08
MP5	pan-cancer	GPR148	Germline_truncation	-0.002470122679539	0.002451008316593	0.032199514735793
MP5	pan-cancer	GPR148	Somatic_Nsy_mutations	3.79989302324728	5.79344674713361E-09	9.49493566990662E-07
MP5	pan-cancer	NOSTRIN	germline missense	-0.000883510964872	0.007070071151528	0.065574320036369
MP5	pan-cancer	NOSTRIN	Somatic_Nsy_mutations	2.44766449966609	7.16955239588999E-11	2.23710304084066E-08
MP5	pan-cancer	EVX2	germline missense	0.002058756452658	0.004902849818715	0.051367921876825
MP5	pan-cancer	EVX2	Somatic_Nsy_mutations	3.43123839909686	0.000189769333171	0.004910321219105
MP5	pan-cancer	FKBP7	germline missense	-0.002312588669644	0.006537307009739	0.062253244474277
MP5	pan-cancer	FKBP7	Somatic_Nsy_mutations	3.65307416193527	1.31229029201029E-06	9.30310018702415E-05
MP5	pan-cancer	FKBP7	TSS_methylation	0.263870448621135	0.005942261315316	0.058382940350352
MP5	pan-cancer	FZD7	germline missense	0.001431303254943	0.005968473277661	0.058548147766604
MP5	pan-cancer	FZD7	Somatic_Nsy_mutations	3.13321380140308	5.97538569222468E-09	9.73529192085687E-07
MP5	pan-cancer	ICOS	germline missense	-0.002586610357938	0.001648710998425	0.024259407316978
MP5	pan-cancer	ICOS	Somatic_Nsy_mutations	3.99096423029669	1.54576134695451E-09	3.032573369611E-07
MP5	pan-cancer	MDH1B	germline missense	0.000503929877741	0.007387882721714	0.067553676193102
MP5	pan-cancer	MDH1B	Somatic_Nsy_mutations	1.90905200015682	6.36748155449351E-06	0.000347759199373
MP5	pan-cancer	SP140	Germline_truncation	0.002302264424514	0.002885891074248	0.03598430435644
MP5	pan-cancer	SP140	Somatic_Nsy_mutations	4.82678276998947	0.000158729056011	0.004338470655593
MP5	pan-cancer	PRLH	germline missense	0.002012648635691	0.006633955253255	0.062837457916117
MP5	pan-cancer	PRLH	SCNAs	0.406758271741584	0.007746912590438	0.069733947231038
MP5	pan-cancer	RAMP1	germline missense	0.002733716061036	0.000205806501173	0.00520466115514
MP5	pan-cancer	RAMP1	Somatic_Nsy_mutations	4.61174211604289	0.000358087385185	0.007813258817801
MP5	pan-cancer	RAMP1	SCNAs	0.413253555900613	0.005708345656451	0.056856936079623
MP5	pan-cancer	GPR35	germline missense	-0.000536093401966	0.008331403404055	0.073144230735363
MP5	pan-cancer	GPR35	Somatic_Nsy_mutations	2.84650897346892	0.002086767242475	0.028737946697433
MP5	pan-cancer	GPR35	SCNAs	0.445243943388864	0.002846072724455	0.035623481692776
MP5	pan-cancer	PPARG	germline missense	-0.002277897148895	0.001740105026957	0.025238950178056
MP5	pan-cancer	PPARG	Somatic_Nsy_mutations	4.88982085006457	0.00012593445936	0.003724341466893
MP5	pan-cancer	PPARG	SCNAs	-0.427890066116029	0.001455818372861	0.0221675878068
MP5	pan-cancer	RFTN1	germline missense	-0.000440245695361	0.007733822572645	0.069659944864637
MP5	pan-cancer	RFTN1	Somatic_Nsy_mutations	3.09295474163993	2.22541689206898E-13	1.46200428002418E-10
MP5	pan-cancer	ZNF860	Germline_truncation	0.000847201717975	0.001408702439901	0.021648992449545
MP5	pan-cancer	ZNF860	Somatic_Nsy_mutations	4.76732550949312	0.000154481038498	0.004265825637464
MP5	pan-cancer	MOBP	germline missense	0.001956132633436	0.007857212372859	0.070375867759319
MP5	pan-cancer	MOBP	Somatic_Nsy_mutations	3.07691635341413	0.001136977096258	0.018525561814183
MP5	pan-cancer	ZNF660	germline missense	0.002098269995791	0.003433082772287	0.040492239181859
MP5	pan-cancer	ZNF660	Somatic_Nsy_mutations	4.89278969110781	0.000105142721579	0.003287122617465
MP5	pan-cancer	KIAA1143	germline missense	0.000420998719111	0.012957796161354	0.098127836031046
MP5	pan-cancer	KIAA1143	Somatic_Nsy_mutations	3.42583648973143	5.35629619580054E-06	0.000302012700886
MP5	pan-cancer	IMPDH2	germline missense	-0.00207034832436	0.003717357920774	0.042712132914152
MP5	pan-cancer	IMPDH2	Somatic_Nsy_mutations	3.25482312143656	8.96596654152498E-10	1.90091777238871E-07
MP5	pan-cancer	IMPDH2	SCNAs	0.371181467768932	0.007643089457506	0.069131232313136
MP5	pan-cancer	AMIGO3	Germline_truncation	0.001930793963542	0.007934058141138	0.070827677329411
MP5	pan-cancer	AMIGO3	Somatic_Nsy_mutations	2.51898249538473	0.000108020379555	0.003352936957707
MP5	pan-cancer	AMIGO3	SCNAs	0.409950928968251	0.004434018325532	0.048103330571732
MP5	pan-cancer	VGLL3	germline missense	-0.000679866594632	0.010047909215131	0.082881358472424
MP5	pan-cancer	VGLL3	Somatic_Nsy_mutations	3.33735405650452	1.48929644303566E-05	0.000697420065798
MP5	pan-cancer	CHMP2B	Germline_truncation	0.002153420723694	0.003487861980496	0.040916823021635
MP5	pan-cancer	CHMP2B	Somatic_Nsy_mutations	2.82628879246184	0.000186912628668	0.004856572693946
MP5	pan-cancer	GRAMD1C	germline missense	-0.001178959909803	0.004069918503879	0.04541227292842
MP5	pan-cancer	GRAMD1C	Somatic_Nsy_mutations	3.56771937419498	2.86209857322198E-25	4.42241167979396E-21
MP5	pan-cancer	ARHGAP31	Germline_truncation	-0.002028288376631	0.005496473088874	0.05542834245221
MP5	pan-cancer	ARHGAP31	Somatic_Nsy_mutations	3.16110485703431	0.000618505931587	0.011828983000027
MP5	pan-cancer	ADPRH	Germline_truncation	0.001724304118311	4.71292753198208E-05	0.001776850955746
MP5	pan-cancer	ADPRH	TSS_methylation	0.443485855314324	0.006476771721711	0.061846013376957
MP5	pan-cancer	CSTA	germline missense	-0.000824844967374	0.006908591892798	0.064569617741183
MP5	pan-cancer	CSTA	Somatic_Nsy_mutations	3.30719047536752	0.000325689528683	0.007275672780747
MP5	pan-cancer	STAG1	germline missense	0.002300069028931	0.001038204461473	0.01735391776836
MP5	pan-cancer	STAG1	Somatic_Nsy_mutations	3.26581161702913	0.00020458957437	0.005183727618588
MP5	pan-cancer	RNF13	germline missense	-0.001772042684813	0.000641386784169	0.012146384069204
MP5	pan-cancer	RNF13	Somatic_Nsy_mutations	3.4695351870067	1.06413796963641E-07	1.13272780498434E-05
MP5	pan-cancer	LRRC34	germline missense	0.000811039910602	0.012349051103579	0.094991129575053
MP5	pan-cancer	LRRC34	Somatic_Nsy_mutations	2.77762320560795	2.31560212909268E-10	6.0033306177808E-08
MP5	pan-cancer	DVL3	germline missense	0.00198886201627	0.000128365416633	0.003773986236133
MP5	pan-cancer	DVL3	Somatic_Nsy_mutations	2.23121611213006	0.000158144748563	0.00432879786475
MP5	pan-cancer	EIF4G1	Germline_truncation	-0.000672192125852	0.006354998964248	0.06108183391138
MP5	pan-cancer	EIF4G1	Somatic_Nsy_mutations	2.80409575910642	0.002184170911512	0.029673122514557
MP5	pan-cancer	HS3ST1	germline missense	0.002339129914426	0.001277942418498	0.02015250547941
MP5	pan-cancer	HS3ST1	Somatic_Nsy_mutations	2.88391393577588	9.06475423641173E-06	0.000465024299965
MP5	pan-cancer	KLB	germline missense	-0.000962615747613	0.004756496422172	0.050364337465521
MP5	pan-cancer	KLB	Somatic_Nsy_mutations	2.4651098339842	1.4118828440662E-11	5.59382190479156E-09
MP5	pan-cancer	LIMCH1	germline missense	0.000505816310142	0.012745577314163	0.097050328042468
MP5	pan-cancer	LIMCH1	Somatic_Nsy_mutations	2.33168372106636	0.009418639185005	0.079425767320437
MP5	pan-cancer	ADAMTS3	germline missense	0.000417159943945	0.008485195059748	0.074057431509796
MP5	pan-cancer	ADAMTS3	Somatic_Nsy_mutations	2.81144796237445	0.001513097874424	0.022814945587616
MP5	pan-cancer	ADAMTS3	TSS_methylation	0.407923564960589	0.012930009278903	0.09799192117786
MP5	pan-cancer	AFP	Germline_truncation	-0.001852110336329	0.013045158746343	0.098575107112688
MP5	pan-cancer	AFP	Somatic_Nsy_mutations	2.74847131578989	7.03137528139631E-13	4.01204872795548E-10
MP5	pan-cancer	CNOT6L	germline missense	-0.002034116359416	0.005738756177551	0.057061257724124
MP5	pan-cancer	CNOT6L	Somatic_Nsy_mutations	3.0051978878768	2.3004856595168E-08	3.07268395837397E-06
MP5	pan-cancer	ENOPH1	germline missense	0.002328074560449	0.001318000220716	0.020606776349236
MP5	pan-cancer	ENOPH1	Somatic_Nsy_mutations	4.94585490965909	0.000114156022996	0.003484311336845
MP5	pan-cancer	SPRY1	germline missense	-0.003276702708077	0.001466793431426	0.022282004853477
MP5	pan-cancer	SPRY1	Somatic_Nsy_mutations	5.06386478782725	9.25063302881983E-05	0.002994449286644
MP5	pan-cancer	SPRY1	SCNAs	0.347357211980604	0.008081964608638	0.071687490026072
MP5	pan-cancer	DCHS2	germline missense	0.000251975830764	0.00886400618392	0.076289766266428
MP5	pan-cancer	DCHS2	Somatic_Nsy_mutations	1.22221244024236	0.009487231039303	0.079802107076984
MP5	pan-cancer	DCHS2	SCNAs	0.332282598005493	0.00720991876028	0.066436402079265
MP5	pan-cancer	CTSO	germline missense	0.002066882962125	0.004977603168837	0.051868126182006
MP5	pan-cancer	CTSO	Somatic_Nsy_mutations	2.95547550002438	7.06759250288586E-06	0.000378713743311
MP5	pan-cancer	CTSO	SCNAs	0.338076190916524	0.008762455744642	0.075714911692776
MP5	pan-cancer	GRIA2	germline missense	0.001500306769475	0.003256830405609	0.039083077794754
MP5	pan-cancer	GRIA2	SCNAs	0.389853338505383	0.001773845911722	0.025592765783409
MP5	pan-cancer	SCRG1	germline missense	0.002925716514597	6.08349743818169E-05	0.0021686972212
MP5	pan-cancer	SCRG1	Somatic_Nsy_mutations	3.91024206679775	1.85849564139064E-05	0.000838397921066
MP5	pan-cancer	CLPTM1L	germline missense	-0.000508844422213	0.009506264674291	0.079901313938438
MP5	pan-cancer	CLPTM1L	Somatic_Nsy_mutations	2.42951012885678	7.61559867097525E-08	8.51472424373285E-06
MP5	pan-cancer	ROPN1L	germline missense	0.002089605247476	0.004547536977984	0.048868406452901
MP5	pan-cancer	ROPN1L	Somatic_Nsy_mutations	3.14210280180598	1.51601540580615E-06	0.000104800126543
MP5	pan-cancer	FAM105A	germline missense	0.001155560008083	0.005755631850686	0.057176073220016
MP5	pan-cancer	FAM105A	Somatic_Nsy_mutations	3.24772316591815	5.73376345682929E-12	2.55762265531414E-09
MP5	pan-cancer	AMACR	germline missense	-0.001994341189865	0.007727418158479	0.069621739658476
MP5	pan-cancer	AMACR	Somatic_Nsy_mutations	1.68151767524959	0.00037169422424	0.008037063172459
MP5	pan-cancer	RAD1	Germline_truncation	-0.002126237595588	0.003485579301685	0.040906948667215
MP5	pan-cancer	RAD1	Somatic_Nsy_mutations	3.35229224485204	2.7021056118107E-07	2.45426541004459E-05
MP5	pan-cancer	IL31RA	germline missense	-0.000404420876584	0.007023805071609	0.065292568521641
MP5	pan-cancer	IL31RA	Somatic_Nsy_mutations	2.53954462173479	0.004068874011994	0.04540324140526
MP5	pan-cancer	IL31RA	SCNAs	0.404478809155686	0.000670109095092	0.012553691195547
MP5	pan-cancer	RGS7BP	germline missense	0.002019864805565	0.005441378861576	0.055074036624666
MP5	pan-cancer	RGS7BP	Somatic_Nsy_mutations	2.77114063077302	2.62282558981114E-05	0.001107778176158
MP5	pan-cancer	RGS7BP	SCNAs	0.413602394744524	0.000851013016638	0.014974658097305
MP5	pan-cancer	SMN1	Germline_structural_varinat	0.001287611183636	0.000523007970308	0.010431831045502
MP5	pan-cancer	SMN1	Somatic_Nsy_mutations	3.15236377614364	2.83705880119746E-05	0.001181086627194
MP5	pan-cancer	SMN1	SCNAs	0.445547287470878	0.000368492108233	0.007983017496566
MP5	pan-cancer	TMEM174	germline missense	0.002104400609266	0.004191655515872	0.046329996624703
MP5	pan-cancer	TMEM174	SCNAs	0.429025888573807	0.000555014484595	0.010913063083289
MP5	pan-cancer	POC5	Germline_truncation	0.002158519217557	0.002658340762605	0.033997454445536
MP5	pan-cancer	POC5	Somatic_Nsy_mutations	4.7206761896831	0.000191658434359	0.00494708072351
MP5	pan-cancer	POC5	SCNAs	0.41870132504352	0.00060426095491	0.011632586323415
MP5	pan-cancer	ARRDC3	germline missense	0.002323987054828	0.00145205436468	0.022124227215185
MP5	pan-cancer	ARRDC3	SCNAs	0.423802774261517	0.000710907017141	0.01310695793044
MP5	pan-cancer	CHD1	Germline_truncation	-0.002827863250493	0.005004062884898	0.052062389395621
MP5	pan-cancer	CHD1	Somatic_Nsy_mutations	4.71944344092995	0.00017820712688	0.004697854985041
MP5	pan-cancer	CHD1	SCNAs	0.466142998257654	0.000127158738078	0.003747065076743
MP5	pan-cancer	SLC12A2	germline missense	-0.001977998923842	0.006396747574021	0.061345730315692
MP5	pan-cancer	SLC12A2	Somatic_Nsy_mutations	3.09496359734349	3.12554978955958E-21	1.49058241204785E-17
MP5	pan-cancer	SLC12A2	SCNAs	0.356707451280835	0.003613523511582	0.041870837832171
MP5	pan-cancer	SLC12A2	TSS_methylation	-2.41777039994143	0.006434387225983	0.061610338247333
MP5	pan-cancer	ISOC1	germline missense	0.001518959333328	0.003827698442964	0.043575899249983
MP5	pan-cancer	ISOC1	Somatic_Nsy_mutations	2.52331254996175	0.000120230244358	0.003612340462266
MP5	pan-cancer	ISOC1	SCNAs	0.330078511117911	0.008499331525987	0.074137934066935
MP5	pan-cancer	IL13	germline missense	-0.001981984219814	0.007122585566819	0.065870019181042
MP5	pan-cancer	IL13	SCNAs	0.39804938734219	0.001355521334962	0.021041820052389
MP5	pan-cancer	FSTL4	Germline_truncation	-0.001364998471372	0.009070055561121	0.077461936122591
MP5	pan-cancer	FSTL4	Somatic_Nsy_mutations	2.67005306418054	0.00353032616893	0.041233911149703
MP5	pan-cancer	FSTL4	SCNAs	0.464490419445698	0.000229128364663	0.005632663445778
MP5	pan-cancer	C5orf24	germline missense	0.001909330301101	0.006779373122381	0.063769226454762
MP5	pan-cancer	C5orf24	Somatic_Nsy_mutations	3.35881830889751	8.45603957883172E-09	1.30711964183533E-06
MP5	pan-cancer	C5orf24	SCNAs	0.414865341878119	0.000835910781971	0.01478569585963
MP5	pan-cancer	PCDHB3	germline missense	0.000496599034454	0.006394646286947	0.061328623785466
MP5	pan-cancer	PCDHB3	Somatic_Nsy_mutations	2.88932906260407	5.88359154424012E-14	4.50948107384139E-11
MP5	pan-cancer	PCDHB3	SCNAs	0.372629548425382	0.002023661510331	0.028123551175966
MP5	pan-cancer	PCDHGA10	germline missense	-0.000820911639435	0.000179035196575	0.004713397745534
MP5	pan-cancer	PCDHGA10	Somatic_Nsy_mutations	2.00678338427103	1.78770651556453E-09	3.4477031333197E-07
MP5	pan-cancer	PCDHGA10	SCNAs	0.352409561847825	0.003309655225552	0.03951933562281
MP5	pan-cancer	RBM27	Germline_truncation	-0.00222848531864	0.001921331878949	0.027096243760767
MP5	pan-cancer	RBM27	SCNAs	0.393083988854599	0.000950076155924	0.016264385922809
MP5	pan-cancer	C5orf47	germline missense	0.000588247783518	0.009582023640364	0.08032310867714
MP5	pan-cancer	C5orf47	Somatic_Nsy_mutations	3.50425480402826	3.66918778270672E-06	0.000220328651915
MP5	pan-cancer	HNRNPAB	germline missense	-0.001919157718223	0.009012890071448	0.077132312432758
MP5	pan-cancer	HNRNPAB	Somatic_Nsy_mutations	2.25262770839651	0.000128220320922	0.003770294282511
MP5	pan-cancer	DEK	Germline_truncation	-0.002002632883526	0.009049666606002	0.077337391330009
MP5	pan-cancer	DEK	Somatic_Nsy_mutations	2.76684921813738	1.15795377795643E-11	4.75858641319753E-09
MP5	pan-cancer	E2F3	germline missense	-0.001202262860879	0.004223638836806	0.046559947203599
MP5	pan-cancer	E2F3	Somatic_Nsy_mutations	4.73327344478112	0.000206133357562	0.005207898338133
MP5	pan-cancer	HIST1H2BG	germline missense	0.002147339040137	0.003647447977889	0.042149584983449
MP5	pan-cancer	HIST1H2BG	Somatic_Nsy_mutations	4.82206890332681	0.000208801549852	0.005259743038393
MP5	pan-cancer	CENPQ	germline missense	0.001323187043718	0.012062103213136	0.09353395511608
MP5	pan-cancer	CENPQ	Somatic_Nsy_mutations	2.8036016745355	0.000225277461175	0.005560553083359
MP5	pan-cancer	PDSS2	germline missense	0.001897082401749	0.000265715547048	0.0062618060264
MP5	pan-cancer	PDSS2	SCNAs	-0.33167654934901	0.003686616612784	0.042465275623053
MP5	pan-cancer	RSPH4A	Germline_truncation	0.002541264409763	0.000470007989941	0.009619959382546
MP5	pan-cancer	RSPH4A	Somatic_Nsy_mutations	2.2996556573937	0.010069243685036	0.083004165774015
MP5	pan-cancer	FABP7	germline missense	0.000780228684625	0.009988122580176	0.082534479755686
MP5	pan-cancer	FABP7	Somatic_Nsy_mutations	3.6150725219268	1.11182195378976E-05	0.000550347741735
MP5	pan-cancer	TAAR6	germline missense	0.000596787068703	0.008623244262828	0.074892793055715
MP5	pan-cancer	TAAR6	SCNAs	-0.351786639122595	0.003875013234247	0.043943246162243
MP5	pan-cancer	TAAR2	germline missense	0.002180094299019	0.002473044795279	0.032389738334488
MP5	pan-cancer	TAAR2	Somatic_Nsy_mutations	4.87760135511836	0.000129805351666	0.003806090232586
MP5	pan-cancer	TAAR2	SCNAs	-0.391242976565546	0.000982231845186	0.016681790358706
MP5	pan-cancer	PEX3	germline missense	-0.00218653239796	0.005007509214121	0.052086473608669
MP5	pan-cancer	PEX3	Somatic_Nsy_mutations	3.18302706413902	2.96618045822463E-09	5.3243904060783E-07
MP5	pan-cancer	PEX3	SCNAs	-0.321906285915543	0.006964150690076	0.064908699846124
MP5	pan-cancer	ULBP3	Germline_truncation	0.002335472002953	0.001611930933646	0.023869146022507
MP5	pan-cancer	ULBP3	Somatic_Nsy_mutations	3.94371791550418	1.63826509837363E-06	0.000111790858772
MP5	pan-cancer	SOD2	germline missense	0.001929765368704	0.000195607814173	0.005017716331257
MP5	pan-cancer	SOD2	Somatic_Nsy_mutations	3.98990714084801	0.001925282227705	0.027128185191411
MP5	pan-cancer	TCP10L2	germline missense	0.00034008433786	0.005664661034754	0.056560369514482
MP5	pan-cancer	TCP10L2	Somatic_Nsy_mutations	1.93832837766222	0.003181976882962	0.03847525689725
MP5	pan-cancer	HOXA4	germline missense	0.001530456669925	0.00335301442683	0.039860875729504
MP5	pan-cancer	HOXA4	Somatic_Nsy_mutations	4.94232833392263	0.000123054406997	0.003670074886744
MP5	pan-cancer	POU6F2	Germline_truncation	-0.001381755463244	0.001326054298756	0.020697347680825
MP5	pan-cancer	POU6F2	Somatic_Nsy_mutations	1.5688497014194	0.000477307859265	0.009727743554151
MP5	pan-cancer	UBE2D4	germline missense	-0.000579103356151	0.006041833930619	0.059034302968282
MP5	pan-cancer	UBE2D4	Somatic_Nsy_mutations	3.09041260529736	2.59183873109049E-06	0.000163997375147
MP5	pan-cancer	IGFBP3	germline missense	-0.000538063097003	0.010544255405277	0.085561410876162
MP5	pan-cancer	IGFBP3	Somatic_Nsy_mutations	2.89485452120477	9.72123694498043E-06	0.000492424120209
MP5	pan-cancer	NCF1	Germline_truncation	0.00221316393531	0.002769230443177	0.034971160023032
