Gene  Symbol	Gene Name	Gene Alias(es)	Chromosome location	Cancer syndrome(s)	Major associated tumor types	Mode of inheritance	Gene Start (bp)	Gene End (bp)	Reference (PubMed ID)	OMIM ID	Source	Gene_Classification	# of Likely Pathogenic Variant	# of Pathogenic Variant
TSHR	thyroid stimulating hormone receptor	"7253,hTSHR-I,LGR3,MGC75129,ENSG00000165409,TSHR"	14q31		thyroid adenoma	autosomal dominant	80955681	81144353	7920658	603372	Cancer Gene Census Germline download 1/5/2016 (http://cancer.sanger.ac.uk/census/ )	Oncogene	0	1
DROSHA	"RIBONUCLEASE III, NUCLEAR"	RNASEN	5p13.3			autosomal dominant	"31,400,493"	"31,532,174"	personal communication; related to DICER1	608828	"personal communication with Gang Wu, St. Jude; related to DICER1"	Not classified	0	0
ABCB11	"ATP-binding cassette, sub-family B (MDR/TAP), member 11"	"ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP"	2q31.1	Progressive familial intrahepatic cholestasis	"Hepatocellular carcinoma
Cholangiocarcinoma"	autosomal recessive 	"169,779,448"	"169,887,832"	9806540	603201	Rahman 114 CPG	Not classified	0	0
ALK	anaplastic lymphoma receptor tyrosine kinase	"CD246, NBLST3
"	2p23 		Neuroblastoma	autosomal dominant	"29,415,640"	"30,144,432"	18724359	105590	Rahman 114 CPG	Oncogene	0	0
APC	adenomatous polyposis coli	DP2.5	5q21	"Familial adenomatous polyposis (FAP)
      "	"Colorectal cancer 
Hepatoblastoma
Desmoid tumor"	autosomal dominant	"112,043,195"	"112,181,936"	"1651174
1651562
1651563
1678319"	611731	Rahman 114 CPG	Tumor Suppressor Gene	4	1
ATM	ataxia telangiectasia mutated	"TEL1, TELO1"	11q22.3 	Ataxia-Telangiectasia (biallelic mutations)       	"Biallelic mutations:
Lymphoid hematological malignancy (leukemia, lymphoma) 
Monoallelic mutations: 
Breast cancer                    "	"autosomal recessive 
autosomal dominant "	"108,093,211"	"108,239,829"	7792600	607585	Rahman 114 CPG	Tumor Suppressor Gene	21	36
AXIN2	axin 2	"AXIL, ODCRCS"	17q24.1	oligodentia-colorectal cancer syndrome	Colorectal cancer	autosomal dominant	"633,553,924"	"63,556,675"	15042511	604025	Rahman 114 CPG	Not classified	1	0
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	UCHL2	3p21.31-p21.2		"Melanoma (cutaneous, uveal)
Mesothelioma
Meningioma
Lung cancer (adenocarcinoma)"	autosomal dominant	"52,435,029"	"52,444,366"	21874003	603089	Rahman 114 CPG	Tumor Suppressor Gene	5	3
BLM	"Bloom syndrome, RecQ helicase-like"	"BS, RECQ2, RECQL3"	15q26.1	Bloom syndrome	"Lymphoma and ALL hematological malignancy
Myeloid hematological malignancy
Squamous cell carcinoma, scc
gastic, colorectal cancers"	autosomal recessive 	"91,260,558"	"91,358,859"	7585968	604610	Rahman 114 CPG	Tumor Suppressor Gene	0	17
BMPR1A	"bone morphogenetic protein receptor, type IA"	"ALK3, CD292"	10q22.3 	Juvenile polyposis syndrome	"Colorectal cancer, gastric cancer, hamartoma            "	autosomal dominant	"88,516,396"	"88,684,945"	11381269	601299	Rahman 114 CPG	Tumor Suppressor Gene	0	0
BRCA1	"breast cancer 1, early onset"	"BRCC1, PPP1R53, RNF53"	17q21	Hereditary breast-ovarian cancer 	"Breast cancer
Ovarian cancer"	autosomal dominant	"41,196,312"	"41,322,290"	7545954	113705	Rahman 114 CPG	Tumor Suppressor Gene	31	58
BRCA2	"breast cancer 2, early onset"	FANCD1	13q12	"Hereditary breast-ovarian cancer
Fanconi anaemia (D1)  (biallelic mutations)"	"Biallelic mutations:
Myeloid hematological malignancy (
Medulloblastoma
Wilms tumor
Monoallelic mutations:
Breast cancer
Ovarian cancer
Prostate cancer
Pancreas cancer"	"autosomal recessive 
autosomal dominant "	"32,889,611"	"32,973,805"	8524414	600185	Rahman 114 CPG	Tumor Suppressor Gene	38	53
BRIP1	BRCA1 interacting protein C-terminal helicase 1	"FANCJ, BACH1"	17q22	Fanconi anaemia (J) (biallelic mutations)	"Biallelic mutations:
Myeloid hematological malignancy 
Squamous cell carcinoma (head and neck, esophagus, genital tract)
Monoallelic mutations:
Breast cancer
Ovarian cancer            "	"autosomal recessive 
autosomal dominant "	"59,759,985"	"59,940,755"	"16153896
16116424
16116423"	605882	Rahman 114 CPG	Tumor Suppressor Gene	22	14
BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	"BUBR1, MAD3L, SSK1"	15q15	Mosaic variegated aneuploidy Syndrome 	"Wilms Tumor 
Rhabdomyosarcoma
Myeloid hematological malignancy"	autosomal recessive 	"40,453,224"	"40,513,337"	15475955	602860	Rahman 114 CPG	Tumor Suppressor Gene	0	10
CBL	"Cbl proto-oncogene, E3 ubiquitin protein ligase"	"CBL2, RNF55, C-Cbl, FRA11B, NSLL"	11q23	Noonan syndrome	JMML	autosomal dominant	"119,076,752"	"119,178,859"	20694012	165360	Rahman 114 CPG	Oncogene	0	1
CDC73	"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"	"HRPT2, parafibromin"	1q25	Hyperparathyroidism-jaw tumor syndrome	"Parathyroid cancer
Ossifying fibroma (bone)"	autosomal dominant	"193,091,147"	"193,223,031"	12434154	607393	Rahman 114 CPG	Tumor Suppressor Gene	0	0
CDH1	"cadherin 1, type 1, E-cadherin (epithelial)"	"UVO, CD324"	16q22.1 	Hereditary diffuse gastric cancer	"Breast cancer (lobular)
Gastric cancer (diffuse)
"	autosomal dominant	"68,771,128"	"68,869,445"	9537325	192090	Rahman 114 CPG	Tumor Suppressor Gene	2	2
CDK4	cyclin-dependent kinase 4	PSK-J3	12q14 		Melanoma 	autosomal dominant	"58,142,034"	"58,149,796"	8528263	123829	Rahman 114 CPG	Oncogene	0	0
CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	"KIP1, P27KIP1, CDKN4, MEN4, MEN1B, P27Kip1"	12p.13.1		"Thyroid cancer, 
Pituitary adenoma"	"autosomal recessive 
autosomal dominant "	"12,867,992"	"12,875,305"	17030811	600778	Rahman 114 CPG	Not classified	2	1
CDKN2A	cyclin-dependent kinase inhibitor 2A	"p16, p14ARF"	9p21 		"Melanoma [p16 and p14ARF]
Pancreas cancer [p16 ]
Astrocytoma [p14ARF ]"	autosomal dominant	"21,967,751"	"21,995,300"	"7987387
7987388"	600160	Rahman 114 CPG	Tumor Suppressor Gene	10	0
CEBPA	"CCAAT/enhancer binding protein (C/EBP), alpha"	CEBP	19q13.1		Myeloid hematological malignancy	autosomal dominant	"33,790,840"	"33,793,470"	15575056	116897	Rahman 114 CPG	Oncogene	0	0
CHEK2	checkpoint kinase 2	"CDS1, CHK2"	22q12.1		Breast cancer 	autosomal dominant	"29,083,731"	"29,138,410"	"11967536
12094328"	604373	Rahman 114 CPG	Tumor Suppressor Gene	12	51
COL7A1	"collagen, type VII, alpha 1"	"Long-chain collagen, EBD1,EBDCT, EBR1"	3p21.31	Epidermolysis bullosa	Squamous cell carcinmona (skin)	"autosomal recessive 
autosomal dominant "	"48,601,506"	"48,632,700"	8513326	120120	Rahman 114 CPG	Not classified	30	1
CYLD	cylindromatosis (turban tumor syndrome)	USPL2	16q12.1 	"Brooke-Spiegler syndrome
"	"Cylindroma
spiroadenocarcinoma
Basal cell carcinoma"	autosomal dominant	"50,775,961"	"50,835,846"	10835629	605018	Rahman 114 CPG	Tumor Suppressor Gene	1	0
DDB2	"damage-specific DNA binding protein 2, 48kDa"	XPE	11p12	Xeroderma Pigmentosum (E)	"Basal cell carcinoma
Squamous cell carcinoma
Melanoma"	autosomal dominant	"47,236,493"	"47,260,767"	8798680	600811	Rahman 114 CPG	Tumor Suppressor Gene	2	1
DICER1	"dicer 1, ribonuclease type III"	"DCR1, Dicer, HERNA, MNG1"	14q32.13	DICER1 syndrome	"Pleuropulmonary blastoma
Cystic nephroma 
Ovarian sex cord tumor"	autosomal dominant	"95,552,565"	"95,624,347"	19556464	606241	Rahman 114 CPG	Tumor Suppressor Gene	2	0
DIS3L2	DIS3 mitotic control homolog (S. cerevisiae)-like 2	FAM6A	2q37.1	Perlman syndrome	Wilms tumor	autosomal recessive 	"232,825,955"	"233,209,060"	22306653	614184	Rahman 114 CPG	Not classified	0	0
DKC1	"dyskeratosis congenita 1, dyskerin"	"DKC, NOLA4, NAP57, XAP10, Dyskerin, CBF5, DKCX, "	Xq28	Dyskeratosis congenita	"acute myeloid leukemia
Squamous cell carcinoma (head + neck, anorectal)"	X-linked recessive	"153,991,031"	"154,005,964"	9590285	300126	Rahman 114 CPG	Not classified	0	6
DOCK8	"dedicator of cytokinesis 8

"	"ZIR8, MRD2, FLJ00026, FLJ00152, FLJ0346"	9p24.3	HyperIgE syndrome	"Squamous cell carcinoma
Lymphoma"	autosomal recessive 	"214,865"	"465,255"	19776401	611432	Rahman 114 CPG	Not classified	0	1
EGFR	epidermal growth factor receptor	ERBB1	7p12		Non-small cell lung cancer 	autosomal dominant	"55,086,714"	"55,324,313"	16258541	131550	Rahman 114 CPG	Oncogene	0	0
ELANE	"elastase, neutrophil expressed"	"ELA2, HLE, HLN, NE, SCN, GE, PMN-E"	19p13.3	Severe congenital neutropenia	Leukemia 	autosomal dominant	851014	856242	11001877	130130	Rahman 114 CPG	Not classified	0	1
ERCC2	"excision repair cross-complementing rodent repair deficiency, complementation group 2"	XPD	19q13.3	Xeroderma pigmentosum (D)	"Basal cell carcinoma
Squamous cell carcinoma
Melanoma"	autosomal recessive 	"45,854,246"	"45,873,876"	7849702	126340	Rahman 114 CPG	Tumor Suppressor Gene	0	0
ERCC3	"excision repair cross-complementing rodent repair deficiency, complementation group 3"	XPB	2q21	Xeroderma pigmentosum (B)	"Basal cell carcinoma
Squamous cell carcinoma
Melanoma"	autosomal recessive 	"128,014,866"	"128,051,752"	2167179	133510	Rahman 114 CPG	Tumor Suppressor Gene	0	1
ERCC4	"excision repair cross-complementing rodent repair deficiency, complementation group 4"	XPF	16p13.12	"Xeroderma pigmentosum (F)
Fanconi anaemia (Q) "	"Basal cell carcinoma
Squamous cell carcinoma
Melanoma"	autosomal recessive 	"14,014,014"	"14,046,202"	8797827	133520	Rahman 114 CPG	Tumor Suppressor Gene	0	1
ERCC5	"excision repair cross-complementing rodent repair deficiency, complementation group 5"	XPG	13q33	Xeroderma pigmentosum (G)	"Basal cell carcinoma
Squamous cell carcinoma
Melanoma"	autosomal recessive 	"103,459,705"	"103,528,345"	7951246	133530	Rahman 114 CPG	Tumor Suppressor Gene	0	0
EXT1	exostosin 1	"LGCR, LGS"	8q24.11		Chondrosarcoma	autosomal dominant	"118,806,729"	"119,124,092"	7550340	608177	Rahman 114 CPG	Tumor Suppressor Gene	1	0
EXT2	exostosin 2	SOTV	11p12-p11		Chondrosarcoma	autosomal dominant	"44,117,099"	"44,266,979"	8782816	608210	Rahman 114 CPG	Tumor Suppressor Gene	11	0
FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase)	FAA	15q25.1	Tyrosinemia	Hepatocellular carcinoma	autosomal recessive 	"80,445,122"	"80,479,288"	8318997	276700	Rahman 114 CPG	Not classified	0	11
FANCA	"Fanconi anemia, complementation group A"	FANCH	16q24.3	Fanconi anaemia (A)	"Myeloid hematological malignancy
Squamous cell carcinoma (head and neck, esophagus, genital tract) "	autosomal recessive 	"89,803,957"	"89,883,065"	"8896564
8896563"	607139	Rahman 114 CPG	Tumor Suppressor Gene	0	4
FANCC	"Fanconi anemia, complementation group C"	"FAC, FACC"	9q22.3	Fanconi anaemia (C)	"Myeloid hematological malignancy
Squamous cell carcinoma (head and neck, esophagus, genital tract) "	autosomal recessive 	"97,861,336"	"98,079,991"	1574115	613899	Rahman 114 CPG	Tumor Suppressor Gene	0	4
FANCG	"Fanconi anemia, complementation group G"	XRCC9	9p13	Fanconi anaemia (G)	"Myeloid hematological malignancy
Squamous cell carcinoma (head and neck, esophagus, genital tract) "	autosomal recessive 	"35,073,832"	"35,080,013"	9806548	602956	Rahman 114 CPG	Tumor Suppressor Gene	0	4
FH	fumarate hydratase	fumarase	1q42.1 	Hereditary leiomyomatosis and renal cell cancer (HLRCC)	"Renal cell cancer
Leiomyosarcoma (uterus)
"	"autosomal recessive 
autosomal dominant "	"241,660,903"	"241,683,061"	11865300	136850	Rahman 114 CPG	Tumor Suppressor Gene	4	1
FLCN	folliculin	BHD	17p11.2	Birt-Hogg-Dube syndrome	"Renal cell cancer
Oncocytoma
"	autosomal dominant	"17,115,526"	"17,140,502"	12204536	607273	Rahman 114 CPG	Not classified	0	0
GATA2	GATA binding protein 2	NFE1B	3q21.3	Emberger MonoMAC syndrome	Myeloid hematological malignancy 	autosomal dominant	"128,198,270"	"128,212,028"	"21892158
21892162
21765025
21670465"	137295	Rahman 114 CPG	Oncogene	0	0
GBA	"glucosidase, beta, acid"	"GLUC, GBA1, GCB"	1q21	Gauchers type 1	"Myeloma
Lymphoma
Hepatocellular carcinoma"	autosomal recessive 	"155,204,239"	"155,214,653"	2880291	606463	Rahman 114 CPG	Not classified	0	2
GJB2	"gap junction protein, beta 2, 26kDa"	"CX26, DFNA3, DFNB1, NSRD1, DFNA3A, DFNB1A, HID, KID"	13q12.11	Keratosis-icthyosis-deafness syndrome (KID)	Squamous cell carcinoma	autosomal dominant	"20,761,609"	"20,767,037"	11912510	121011	Rahman 114 CPG	Not classified	7	16
GPC3	glypican 3	"SDYS, DGSX"	Xq26.1	Simpson-Golabi-Behmel syndrome	"Wilms tumor
Hepatoblastoma, hepatocellular carcinoma
Neuroblastoma
Gonadoblastoma
"	X-linked recessive	"132,669,773"	"133,119,922"	8589713	300037	Rahman 114 CPG	Not classified	0	0
HFE	hemochromatosis	"HLA-H, HFE, MVDC7, HH, HLAH, TFQTL2"	6p22.2	Haemochromatosis	"Hepatocellular carcinoma
Cholangiocarcinoma"	autosomal recessive 	"26,087,448"	"26,098,571"	8696333	613609	Rahman 114 CPG	Not classified	0	2
HMBS	hydroxymethylbilane synthase	"PBGD, UPS, PORC, PBG-D"	11q23.3	Porphyria (AI)	hepatocellular carcinoma	autosomal dominant	"118,955,576"	"118,964,259"	2563167	609806	Rahman 114 CPG	Not classified	0	0
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	HRAS1	11p15.5 	Costello syndrome         	"Rhabdomyosarcoma
Neuroblastoma
Transitional cell carcinoma (bladder)"	autosomal dominant	"532,242"	"537,287"	16170316	190020	Rahman 114 CPG	Oncogene	0	0
ITK	IL2-inducible T-cell kinase	"EMT, LYK, PSCTK2, "	5q33.3	Lymphoproliferative syndrome 1	Hodgkins lymphoma	autosomal recessive 	"156,569,944"	"156,682,201"	19425169	186973	Rahman 114 CPG	Oncogene	0	0
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	"PBT, C-Kit, CD117, SCFR"	4q12		Gastro-Intestinal Stromal Tumor          	autosomal dominant	"55,524,085"	"55,606,881"	9697690	164920	Rahman 114 CPG	Oncogene	0	0
MAX	MYC associated factor X	bHLHd4	14q23	Familial paraganglioma-pheochromocytoma syndrome	"Paraganglioma
Pheochromocytoma"	autosomal dominant	"65,472,892"	"65,569,413"	21685915	154950	Rahman 114 CPG	Tumor Suppressor Gene	4	2
MEN1	multiple endocrine neoplasia I	menin	11q13 	Multiple endocrine neoplasia Type 1	"Parathyroid, pituitary adenoma 
Neuroendocrine tumor
Carcinoid tumor
Adrenocortical carcinoma"	autosomal dominant	"64,570,988"	"64,578,766"	9103196	613733	Rahman 114 CPG	Tumor Suppressor Gene	2	0
MET	met proto-oncogene (hepatocyte growth factor receptor)	"HGFR, c-Met"	7q31		Renal cell cancer (papillary carcinoma)	autosomal dominant	"116,312,248"	"116,438,440"	9140397	164860	Rahman 114 CPG	Oncogene	0	3
MLH1	"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)"	"COCA2, HNPCC2"	3p21.3 	"MMR deficiency syndrome (biallelic mutations)
Lynch syndrome / Hereditary Non-Polyposis Colon Cancer  (monoallelic mutations) 

   "	"Biallelic mutations:
Brain tumors
Hematological malignancy
Embryonal tumors
Monoallelic mutations:
Colorectal cancer
Endometrial cancer
Ovarian cancer
"	"autosomal recessive 
autosomal dominant "	"37,034,823"	"37,107,380"	"8128251
8145827"	120436	Rahman 114 CPG	Tumor Suppressor Gene	5	1
MSH2	"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)"	"COCA1, HNPCC1"	2p21	"MMR deficiency syndrome (biallelic mutations)
Lynch syndrome / Hereditary Non-Polyposis Colon Cancer  (monoallelic mutations) 

   "	"Biallelic mutations:
Brain tumors
Hematological malignancy
Embryonal tumors
Monoallelic mutations:
Colorectal cancer
Endometrial cancer
Ovarian cancer
Sebaceous adenoma, carcinoma, epithelioma
"	"autosomal recessive 
autosomal dominant "	"47,630,108"	"47,789,450"	"8252616
8261515"	609309	Rahman 114 CPG	Tumor Suppressor Gene	5	5
MSH6	mutS homolog 6 (E. coli)	GTBP	2p16	"MMR deficiency syndrome (biallelic mutations)
Lynch syndrome / Hereditary Non-Polyposis Colon Cancer  (monoallelic mutations) 

   "	"Biallelic mutations:
Brain tumors
Hematological malignancy
Embryonal tumors
Monoallelic mutations:
Colorectal cancer
Endometrial cancer
Ovarian cancer
"	"autosomal recessive 
autosomal dominant "	"48,010,221"	"48,034,092"	9354786	600678	Rahman 114 CPG	Tumor Suppressor Gene	11	3
MTAP	methylthioadenosine phosphorylase	"MSAP, C86fus, BDMF, DMSFH, DMSMFH, LGMBF"	9p21.3	Diaphyseal medullary stenosis with malignant fibrous histiocytoma (DMS-MFH)	malignant fibrous histiocytoma (sarcoma)	autosomal dominant	"21,802,542"	"21,931,646"	22464254	156540	Rahman 114 CPG	Not classified	1	0
MUTYH	mutY homolog (E. coli)	MYH	1p34.1		Colorectal cancer	autosomal recessive 	"45,794,835"	"45,806,142"	11818965	604933	Rahman 114 CPG	Tumor Suppressor Gene	0	6
NBN	nibrin	NBS1	8q21	Nijmegen breakage syndrome 	"Lymphoma  
Medulloblastoma
Glioma
Rhabdomyosarcoma"	autosomal recessive 	"90,945,564"	"91,015,456"	"9590180
9620777"	602667	Rahman 114 CPG	Tumor Suppressor Gene	0	15
NF1	neurofibromin 1	"NFNS, VRNF, WSS"	17q12	Neurofibromatosis type 1	"Glioma
Malignant peripheral nerve sheath tumor
"	autosomal dominant	"29,421,945"	"29,708,905"	"2134734
1694727"	613113	Rahman 114 CPG	Tumor Suppressor Gene	11	7
NF2	neurofibromin 2 (merlin)	"ACN, BANF, SCH"	22q12.2 	Neurofibromatosis type 2	"Vestibular schwannoma
Meningioma
Ependymoma
"	autosomal dominant	"29,999,545"	"30,094,587"	"8453669
8379998"	607379	Rahman 114 CPG	Tumor Suppressor Gene	1	0
PALB2	partner and localizer of BRCA2	FANCN	16p12.1	Fanconi anaemia (N) (biallelic mutations)          	"Biallelic mutations:
Myeloid hematological malignancy  
Medulloblastoma
Neuroblastoma
Wilms tumor
Monoallelic mutations:
Breast cancer
Pancreas cancer  "	"autosomal recessive 
autosomal dominant "	"23,614,488"	"23,652,631"	"17200671
17200672
17200668
17287723"	610355	Rahman 114 CPG	Tumor Suppressor Gene	9	20
PDGFRA	"platelet-derived growth factor receptor, alpha polypeptide"	"PDGFR2, RHEPDGFRA, CD140a, CD140A, PDGFRA/BCR Fusion"	4q12		Gastro-Intestinal Stromal Tumor         	autosomal dominant	"55,095,264"	"55,164,414"	14699510	173490	Rahman 114 CPG	Oncogene	0	0
PHOX2B	paired-like homeobox 2b	PMX2B	4p12		Neuroblastoma	autosomal dominant	"41,746,099"	"41,750,987"	12640453	603851	Rahman 114 CPG	Tumor Suppressor Gene	1	0
PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	"PMSL2, HNPCC4"	7p22 	"MMR deficiency syndrome (biallelic mutations)
Lynch syndrome / Hereditary Non-Polyposis Colon Cancer  (monoallelic mutations) 

   "	"Biallelic mutations:
Brain tumors 
Hematological malignancy
Supratentorial primitive neuroectodermal tumors
Monoallelic mutations:
Colorectal cancer
Endometrial cancer
Ovarian cancer
"	"autosomal recessive 
autosomal dominant "	"6,012,870"	"6,048,756"	8072530	600259	Rahman 114 CPG	Tumor Suppressor Gene	15	7
POLD1	"polymerase (DNA directed), delta 1, catalytic subunit"	"POLD, CDC2, CRCS 10, MDPL"	19q13.33	PPAP (polymerase proofreading associated polyposis)	"Colorectal cancer
Endometrial cancer"	autosomal dominant	"50,887,461"	"50,921,273"	23263490	174761	Rahman 114 CPG	Tumor Suppressor Gene	2	0
POLE	"polymerase (DNA directed), epsilon, catalytic subunit"	"FILS, POLE1, CRCS12"	12q24.33	PPAP (polymerase proofreading associated polyposis)	Colorectal cancer 	"autosomal recessive 
autosomal dominant "	"133,200,348"	"133,263,951"	23263490	174762	Rahman 114 CPG	Tumor Suppressor Gene	14	0
POLH	"polymerase (DNA directed), eta"	"XPV, XP-V, RAD30, RAD30A
"	6p21.1	Xeroderma pigmentosa V	Squamous cell cancer (skin)	autosomal recessive 	"43,543,887"	"43,586,701"	10385124	603968	Rahman 114 CPG	Tumor Suppressor Gene	0	2
PRKAR1A	"protein kinase, cAMP-dependent, regulatory, type I, alpha"	TSE1	17q23-q24	Carney complex        	"Myxoma (cardiac/cutaneous/breast)
Thyroid cancer
Sex cord-stromal tumor
"	autosomal dominant	"66,508,110"	"66,528,908"	10973256	188830	Rahman 114 CPG	Not classified	2	0
PRSS1	"protease, serine, 1 (trypsin 1)

"	"TRP1, TRY1, TRY4, TRYP1
"	7q34		Pancreatic cancer	autosomal dominant	"142,457,319"	"142,460,923"	8841182	276000	Rahman 114 CPG	Not classified	0	1
PTCH1	patched 1	"PTCH, NBCCS, BCNS"	9q22.3	"Nevoid basal cell carcinoma syndrome
Gorlin Syndrome         "	"Basal cell carcinoma
Medulloblastoma                                         "	autosomal dominant	"98,205,262"	"98,279,339"	8658145 8681379	601309	Rahman 114 CPG	Tumor Suppressor Gene	5	0
PTEN	phosphatase and tensin homolog	"BZN, MHAM"	10q23.3	"Cowden Syndrome
PTEN hamartoma tumor syndrome
"	"Breast cancer
Thyroid cancer
Endometrial cancer
"	autosomal dominant	"89,622,870"	"89,731,687"	9140396	601728	Rahman 114 CPG	Tumor Suppressor Gene	1	1
PTPN11	"protein tyrosine phosphatase, non-receptor type 11"	"CFC, NS1, SHP2, BPTP3, PTP2C, PTP-1D, SH-PTP2, SH-PTP3"	12q24.13	Noonan syndrome	"JMML
neuroblastoma "	autosomal dominant	"112,856,155"	"112,947,717"	11704759 12717436	176876	Rahman 114 CPG	Oncogene	0	4
RAD51C	RAD51 homolog C (S. cerevisiae)	RAD51L2	17q25.1	Fanconi anaemia (O) (biallelic mutations)	"Monoallelic mutations:     
Ovarian cancer                      "	"autosomal recessive 
autosomal dominant "	"56,769,934"	"56,811,703"	20400964	602774	Rahman 114 CPG	Tumor Suppressor Gene	6	5
RAD51D	RAD51 homolog D (S. cerevisiae)	RAD51L3	17q11		Ovarian cancer   	autosomal dominant	"33,426,811"	"33,448,541"	21822267	602954	Rahman 114 CPG	Tumor Suppressor Gene	9	0
RB1	retinoblastoma 1	"OSRC, RB"	13q14.2		"Retinoblastoma
Pinealoma
Sarcoma
Melanoma"	autosomal dominant	"48,877,883"	"49,056,122"	2885916	614041	Rahman 114 CPG	Tumor Suppressor Gene	1	0
RECQL4	RecQ protein-like 4	RecQ4	8q24.3	Rothmund-Thompson syndrome	"Osteosarcoma
Basal cell carcinoma
Squamous cell carcinoma"	autosomal recessive 	"145,736,667"	"145,743,229"	10319867	603780	Rahman 114 CPG	Tumor Suppressor Gene	0	8
